,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,6.0,0.011,0.066,3.30901,0.003229,0.010421
1,6.0,0.011,0.066,3.30901,0.003237,0.010527
2,6.0,0.022,0.132,3.304509,0.019097,0.062949
3,6.0,0.029,0.174,3.302807,0.029013,0.095613
4,6.0,0.037,0.222,3.301386,0.039859,0.130849
5,6.0,0.043,0.258,3.300231,0.049349,0.163315
6,6.0,0.051,0.306,3.299195,0.060372,0.198938
7,6.0,0.058,0.348,3.298351,0.070039,0.230562
8,6.0,0.065,0.39,3.297492,0.079689,0.263144
9,6.0,0.073,0.432,3.296648,0.090415,0.297933
10,6.0,0.08,0.474,3.295938,0.10013,0.329917
11,6.0,0.086,0.516,3.295256,0.110029,0.362364
12,6.0,0.093,0.558,3.294575,0.119696,0.393342
13,6.0,0.1,0.6,3.293895,0.129002,0.42547
14,6.0,0.108,0.648,3.293139,0.139896,0.460962
15,6.0,0.115,0.69,3.292458,0.149755,0.492956
16,6.0,0.121,0.726,3.291748,0.159438,0.524598
17,6.0,0.129,0.774,3.291037,0.170012,0.559148
18,6.0,0.136,0.81,3.290341,0.179767,0.591913
19,6.0,0.143,0.858,3.289601,0.190557,0.626623
20,6.0,0.15,0.9,3.288979,0.200247,0.658205
21,6.0,0.157,0.942,3.288135,0.210067,0.690569
22,6.0,0.164,0.984,3.287366,0.220576,0.72504
23,6.0,0.171,1.026,3.286729,0.230138,0.756158
24,6.0,0.178,1.068,3.286003,0.239645,0.787638
25,6.0,0.185,1.11,3.285175,0.250322,0.822665
26,6.0,0.192,1.152,3.284434,0.260181,0.854759
27,6.0,0.199,1.194,3.283753,0.269856,0.8859
28,6.0,0.206,1.236,3.282954,0.279515,0.917758
29,6.0,0.213,1.278,3.282169,0.290457,0.953457
30,6.0,0.22,1.32,3.281473,0.300236,0.985025
31,6.0,0.226,1.356,3.280674,0.309566,1.015415
32,6.0,0.234,1.404,3.279963,0.320444,1.051077
33,6.0,0.241,1.446,3.279164,0.330256,1.082872
34,6.0,0.248,1.488,3.278483,0.340075,1.114729
35,6.0,0.254,1.524,3.277817,0.349645,1.145516
36,6.0,0.261,1.566,3.276972,0.360002,1.180453
37,6.0,0.268,1.608,3.27641,0.369933,1.212101
38,6.0,0.275,1.65,3.275699,0.379263,1.24271
39,6.0,0.282,1.692,3.275092,0.390158,1.278354
40,6.0,0.289,1.734,3.274781,0.400073,1.310085
41,6.0,0.296,1.776,3.274544,0.409636,1.340969
42,6.0,0.303,1.818,3.274293,0.420193,1.37607
43,6.0,0.31,1.86,3.274056,0.430124,1.407719
44,6.0,0.316,1.896,3.273804,0.43951,1.439081
45,6.0,0.324,1.944,3.273538,0.450316,1.47437
46,6.0,0.331,1.986,3.273316,0.460176,1.506661
47,6.0,0.337,2.022,3.273064,0.46977,1.537397
