,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
108,12.002,0.415,4.981,3.303503,1.079752,3.56723
109,12.002,0.419,5.029,3.302748,1.090344,3.60095
110,12.002,0.423,5.077,3.301623,1.100134,3.632674
111,12.002,0.426,5.113,3.300689,1.1099,3.663137
112,12.002,0.431,5.161,3.299432,1.120131,3.695348
113,12.002,0.434,5.209,3.298143,1.129952,3.726676
114,12.002,0.437,5.245,3.297344,1.139838,3.758697
115,12.002,0.441,5.293,3.295642,1.14954,3.788409
116,12.002,0.445,5.341,3.294739,1.160316,3.822994
117,12.002,0.448,5.377,3.293569,1.169825,3.853104
118,12.002,0.452,5.425,3.292266,1.179455,3.882789
119,12.002,0.456,5.473,3.291259,1.190223,3.917007
120,12.002,0.459,5.509,3.290045,1.200053,3.947622
121,12.002,0.462,5.545,3.288728,1.209425,3.977561
122,12.002,0.467,5.605,3.287869,1.220298,4.012156
123,12.002,0.47,5.641,3.286773,1.230152,4.042952
124,12.002,0.474,5.689,3.285589,1.239902,4.073455
125,12.002,0.478,5.725,3.285175,1.250197,4.107055
126,12.002,0.481,5.785,3.284168,1.259883,4.137846
127,12.002,0.485,5.821,3.283043,1.269712,4.168498
128,12.002,0.488,5.857,3.28245,1.27939,4.199205
129,12.002,0.492,5.905,3.281384,1.290046,4.233676
130,12.002,0.496,5.953,3.280615,1.299988,4.264379
131,12.002,0.499,5.989,3.280008,1.309369,4.295147
132,12.002,0.503,6.037,3.279031,1.320193,4.329198
133,12.002,0.507,6.085,3.27826,1.329999,4.35984
134,12.002,0.51,6.121,3.277727,1.3395,4.390864
135,12.002,0.514,6.169,3.276869,1.350052,4.424259
136,12.002,0.517,6.205,3.276055,1.360147,4.455435
137,12.002,0.521,6.253,3.275655,1.369447,4.48625
138,12.002,0.525,6.301,3.275255,1.379935,4.520243
139,12.002,0.528,6.337,3.27487,1.389901,4.552145
140,12.002,0.531,6.385,3.274589,1.399602,4.582748
141,12.002,0.535,6.421,3.274293,1.40928,4.614841
142,12.002,0.539,6.469,3.274041,1.420225,4.649285
143,12.002,0.543,6.517,3.27373,1.429637,4.679879
144,12.002,0.546,6.565,3.273404,1.439483,4.712121
145,12.002,0.55,6.601,3.273079,1.45018,4.74608
146,12.002,0.554,6.649,3.272857,1.459648,4.777277
147,12.002,0.557,6.685,3.272576,1.469286,4.808702
148,12.002,0.561,6.733,3.272235,1.480143,4.842875
149,12.002,0.565,6.781,3.271998,1.489691,4.873738
150,12.002,0.569,6.829,3.271658,1.499497,4.905386
151,12.002,0.573,6.877,3.271362,1.510097,4.940055
152,12.002,0.576,6.913,3.27108,1.519574,4.971019
153,12.002,0.579,6.961,3.270798,1.529492,5.003032
154,12.002,0.583,6.997,3.270503,1.539113,5.034271
155,12.002,0.587,7.045,3.270177,1.550155,5.06909
156,12.002,0.591,7.093,3.269955,1.559752,5.100322
157,12.002,0.595,7.141,3.269674,1.569453,5.131778
158,12.002,0.599,7.189,3.269392,1.580254,5.166354
159,12.002,0.602,7.225,3.269067,1.589763,5.196645
160,12.002,0.606,7.273,3.26883,1.59932,5.228435
161,12.002,0.61,7.321,3.268533,1.610321,5.263108
162,12.002,0.613,7.357,3.268237,1.619822,5.293802
163,12.002,0.617,7.405,3.267986,1.629491,5.325075
164,12.002,0.621,7.453,3.26766,1.640324,5.359893
165,12.002,0.625,7.501,3.267394,1.64997,5.390763
166,12.002,0.628,7.537,3.267157,1.659406,5.42165
167,12.002,0.632,7.585,3.266816,1.669356,5.453717
168,12.002,0.636,7.633,3.26655,1.679908,5.487738
169,12.002,0.64,7.681,3.266313,1.689714,5.519113
170,12.002,0.643,7.729,3.266017,1.699536,5.550556
171,12.002,0.648,7.777,3.265661,1.709951,5.583546
172,12.002,0.651,7.813,3.26538,1.719886,5.615347
173,12.002,0.655,7.861,3.265128,1.72937,5.646776
174,12.002,0.659,7.909,3.264803,1.739698,5.680241
175,12.002,0.662,7.957,3.264551,1.749592,5.711973
176,12.002,0.666,7.993,3.26424,1.759486,5.742991
177,12.002,0.67,8.041,3.263973,1.769917,5.777148
178,12.002,0.674,8.089,3.263796,1.779699,5.80881
179,12.002,0.678,8.137,3.2635,1.78948,5.840442
180,12.002,0.682,8.173,3.263204,1.800009,5.87424
181,12.002,0.686,8.233,3.262893,1.809895,5.905622
182,12.002,0.689,8.269,3.262597,1.81962,5.936791
183,12.002,0.693,8.317,3.262286,1.829538,5.96814
184,12.002,0.697,8.365,3.262064,1.83993,6.002205
185,12.002,0.701,8.413,3.261842,1.849671,6.032812
186,12.002,0.705,8.461,3.261531,1.859356,6.064503
187,12.002,0.708,8.509,3.26125,1.869828,6.098368
188,12.002,0.712,8.557,3.260983,1.879698,6.129847
189,12.002,0.716,8.593,3.260702,1.889592,6.160723
190,12.002,0.72,8.641,3.26045,1.899847,6.194909
191,12.002,0.724,8.689,3.260169,1.909565,6.22587
192,12.002,0.728,8.737,3.259947,1.919403,6.25752
193,12.002,0.732,8.785,3.259665,1.930099,6.291145
194,12.002,0.736,8.833,3.259429,1.939624,6.322451
195,12.002,0.74,8.881,3.259103,1.949566,6.354098
196,12.002,0.743,8.929,3.258822,1.959974,6.387778
197,12.002,0.748,8.965,3.25854,1.969603,6.417743
198,12.002,0.751,9.014,3.258229,1.979497,6.449795
199,12.002,0.755,9.062,3.258022,1.98903,6.48049
200,12.002,0.76,9.11,3.257712,2.000079,6.515707
