,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,5.0,0.008,0.04,3.3071,0.003077,0.010176
1,5.0,0.008,0.04,3.307056,0.003093,0.010707
2,5.0,0.021,0.105,3.300601,0.019033,0.063298
3,5.0,0.03,0.15,3.298232,0.029101,0.09601
4,5.0,0.039,0.195,3.296323,0.039578,0.130991
5,5.0,0.047,0.235,3.294842,0.049429,0.162545
6,5.0,0.056,0.28,3.293302,0.060284,0.198374
7,5.0,0.064,0.32,3.292162,0.069838,0.230339
8,5.0,0.073,0.365,3.291037,0.079609,0.262286
9,5.0,0.082,0.41,3.289853,0.090439,0.297533
10,5.0,0.09,0.45,3.288831,0.099985,0.328808
11,5.0,0.098,0.49,3.287854,0.109636,0.360758
12,5.0,0.106,0.53,3.286877,0.119648,0.392741
13,5.0,0.114,0.57,3.285929,0.128986,0.424234
14,5.0,0.123,0.615,3.284863,0.139936,0.459221
15,5.0,0.132,0.66,3.283901,0.149812,0.491602
16,5.0,0.14,0.7,3.283028,0.15939,0.523153
17,5.0,0.148,0.74,3.281991,0.169859,0.557663
18,5.0,0.157,0.78,3.281059,0.17971,0.590477
19,5.0,0.166,0.83,3.280096,0.190468,0.624412
20,5.0,0.174,0.87,3.279208,0.200167,0.656232
21,5.0,0.182,0.91,3.27832,0.210011,0.688452
22,5.0,0.19,0.95,3.277357,0.220367,0.722254
23,5.0,0.199,0.995,3.276513,0.23021,0.754531
24,5.0,0.206,1.03,3.275803,0.239837,0.785347
25,5.0,0.215,1.075,3.275241,0.250346,0.819817
26,5.0,0.223,1.115,3.275344,0.260198,0.851977
27,5.0,0.231,1.155,3.275536,0.269928,0.884607
28,5.0,0.239,1.195,3.275803,0.279643,0.915693
29,5.0,0.249,1.245,3.276469,0.290297,0.951429
30,5.0,0.258,1.29,3.278305,0.300084,0.983951
31,5.0,0.268,1.34,3.280718,0.309558,1.015007
32,5.0,0.277,1.385,3.280407,0.320525,1.05075
33,5.0,0.285,1.425,3.278808,0.330127,1.082945
34,5.0,0.294,1.47,3.277195,0.340067,1.114207
35,5.0,0.302,1.51,3.27567,0.349621,1.144839
36,5.0,0.311,1.555,3.274011,0.360058,1.179013
37,5.0,0.319,1.595,3.272413,0.369837,1.210785
38,5.0,0.327,1.635,3.270962,0.379408,1.24082
39,5.0,0.336,1.68,3.269363,0.390222,1.275736
40,5.0,0.344,1.72,3.267971,0.400137,1.30729
41,5.0,0.352,1.76,3.266565,0.409595,1.337734
42,5.0,0.361,1.805,3.264936,0.420337,1.371856
43,5.0,0.369,1.845,3.263204,0.42998,1.403394
44,5.0,0.377,1.885,3.261516,0.439559,1.433882
45,5.0,0.386,1.93,3.260776,0.450485,1.468315
46,5.0,0.394,1.97,3.260525,0.460248,1.500669
47,5.0,0.402,2.01,3.260302,0.46957,1.531244
48,5.0,0.411,2.055,3.259844,0.480223,1.565367
49,5.0,0.419,2.095,3.25937,0.490211,1.597098
50,5.0,0.427,2.135,3.25894,0.499549,1.627267
51,5.0,0.435,2.175,3.258511,0.508989,1.659171
52,5.0,0.445,2.225,3.258126,0.519983,1.693646
53,5.0,0.453,2.265,3.257622,0.52958,1.725093
54,5.0,0.461,2.305,3.256882,0.539466,1.75641
