,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.001,0.013,0.299,12.029005,0.003213,0.038075
1,23.001,0.013,0.299,12.028649,0.003382,0.037109
2,23.001,0.022,0.506,12.016968,0.018857,0.226979
3,23.001,0.028,0.644,12.010676,0.028836,0.347979
4,23.001,0.034,0.782,12.005761,0.039434,0.47477
5,23.001,0.04,0.92,12.001409,0.049349,0.589759
6,23.001,0.047,1.058,11.998181,0.060123,0.719901
7,23.001,0.052,1.196,11.994391,0.069621,0.834547
8,23.001,0.058,1.334,11.989654,0.079609,0.954852
9,23.001,0.064,1.495,11.986397,0.090126,1.08365
10,23.001,0.07,1.61,11.983509,0.099721,1.19818
11,23.001,0.076,1.748,11.982162,0.109588,1.315118
12,23.001,0.081,1.863,11.979452,0.11948,1.43322
13,23.002,0.087,2.001,11.977365,0.129066,1.543744
14,23.002,0.094,2.162,11.975367,0.139736,1.675708
15,23.002,0.099,2.277,11.97442,0.149539,1.792663
16,23.002,0.105,2.415,11.973353,0.159246,1.907368
17,23.002,0.111,2.553,11.971872,0.169803,2.031639
18,23.002,0.117,2.691,11.970599,0.179718,2.149803
19,23.002,0.123,2.829,11.968956,0.190107,2.276414
20,23.002,0.129,2.967,11.967238,0.200031,2.392541
21,23.002,0.134,3.082,11.965063,0.209641,2.508533
22,23.002,0.14,3.243,11.963997,0.220151,2.635638
23,23.002,0.147,3.381,11.962856,0.230042,2.752051
24,23.003,0.152,3.496,11.961864,0.239532,2.866016
25,23.003,0.158,3.634,11.96034,0.250162,2.992506
26,23.003,0.164,3.772,11.958815,0.259901,3.109605
27,23.003,0.17,3.888,11.957719,0.269712,3.224958
28,23.003,0.175,4.026,11.956742,0.279467,3.338928
29,23.003,0.182,4.164,11.955853,0.29012,3.468346
30,23.004,0.187,4.302,11.954314,0.299819,3.585067
31,23.004,0.193,4.44,11.953351,0.309205,3.698112
32,23.004,0.199,4.578,11.952271,0.320348,3.826932
33,23.004,0.205,4.716,11.951471,0.329967,3.945108
34,23.004,0.21,4.831,11.950776,0.339698,4.061518
35,23.004,0.216,4.969,11.949429,0.349381,4.173349
36,23.004,0.222,5.107,11.948378,0.359946,4.301898
37,23.004,0.228,5.245,11.947534,0.37003,4.417832
38,23.004,0.234,5.383,11.946674,0.379303,4.532465
39,23.004,0.24,5.521,11.946054,0.390109,4.662743
40,23.004,0.246,5.659,11.944958,0.399945,4.780465
41,23.004,0.251,5.774,11.943744,0.409708,4.891132
42,23.004,0.257,5.912,11.942959,0.420032,5.017069
43,23.004,0.263,6.05,11.942085,0.429819,5.135528
44,23.004,0.268,6.165,11.9413,0.43951,5.246211
45,23.004,0.274,6.326,11.940901,0.450196,5.376868
46,23.004,0.28,6.464,11.939775,0.460039,5.493264
47,23.004,0.286,6.579,11.938917,0.469674,5.605145
48,23.004,0.292,6.717,11.938014,0.480095,5.730537
49,23.004,0.298,6.855,11.937243,0.489938,5.850808
50,23.004,0.303,6.97,11.936105,0.499348,5.961603
51,23.004,0.309,7.108,11.935572,0.509053,6.073994
52,23.004,0.315,7.246,11.934742,0.519943,6.202985
53,23.004,0.321,7.384,11.933795,0.529467,6.317819
54,23.004,0.326,7.522,11.933144,0.539313,6.434162
55,23.004,0.332,7.637,11.93224,0.549801,6.563285
56,23.004,0.338,7.775,11.931278,0.559535,6.673953
57,23.004,0.344,7.89,11.930492,0.569244,6.792389
58,23.004,0.35,8.051,11.930063,0.580005,6.921931
59,23.004,0.355,8.166,11.92919,0.589586,7.033653
60,23.004,0.361,8.304,11.92845,0.599544,7.149915
61,23.004,0.367,8.442,11.927724,0.610008,7.278875
62,23.004,0.372,8.557,11.927058,0.619412,7.387747
63,23.004,0.378,8.696,11.926288,0.629491,7.505222
64,23.004,0.384,8.834,11.925282,0.640155,7.633896
65,23.004,0.39,8.972,11.924779,0.649913,7.752102
66,23.004,0.395,9.087,11.924127,0.659614,7.866269
67,23.004,0.401,9.225,11.922972,0.670222,7.990553
68,23.004,0.407,9.363,11.922631,0.680164,8.108725
69,23.004,0.412,9.478,11.922084,0.689601,8.219728
70,23.004,0.418,9.639,11.921684,0.700273,8.35082
71,23.004,0.424,9.754,11.921595,0.710047,8.466594
72,23.004,0.43,9.869,11.921255,0.719604,8.579317
73,23.004,0.435,10.007,11.921092,0.729386,8.694096
74,23.004,0.441,10.145,11.92084,0.740034,8.823549
75,23.004,0.446,10.283,11.920603,0.749382,8.934658
76,23.004,0.452,10.398,11.920278,0.75914,9.050824
77,23.004,0.458,10.536,11.920144,0.770189,9.181426
78,23.004,0.463,10.651,11.919952,0.779754,9.29516
79,23.004,0.469,10.789,11.91967,0.78952,9.411152
80,23.004,0.475,10.927,11.919538,0.800241,9.538093
81,23.004,0.48,11.042,11.919315,0.809733,9.650451
82,23.004,0.486,11.18,11.919004,0.819667,9.767682
83,23.004,0.492,11.318,11.918767,0.830316,9.897007
84,23.004,0.498,11.456,11.918633,0.839825,10.011044
85,23.004,0.503,11.571,11.918412,0.849694,10.1261
86,23.004,0.508,11.709,11.918013,0.859219,10.242094
87,23.004,0.514,11.824,11.917775,0.869699,10.363389
88,23.004,0.52,11.962,11.917746,0.879481,10.481791
89,23.004,0.526,12.077,11.917361,0.889238,10.599385
90,23.004,0.531,12.215,11.917257,0.899839,10.723707
91,23.004,0.537,12.353,11.916783,0.909749,10.84013
92,23.004,0.542,12.468,11.916783,0.919474,10.955985
93,23.004,0.548,12.606,11.916309,0.929737,11.079951
94,23.004,0.554,12.744,11.916147,0.939615,11.196824
95,23.004,0.56,12.882,11.915969,0.949453,11.311824
96,23.004,0.566,13.02,11.915614,0.96039,11.440479
97,23.003,0.571,13.135,11.915333,0.969795,11.555823
98,23.003,0.577,13.273,11.915274,0.979456,11.668885
99,23.003,0.582,13.388,11.914948,0.989206,11.787731
100,23.003,0.588,13.549,11.914711,0.999693,11.909102
101,23.003,0.594,13.664,11.914518,1.009628,12.026886
102,23.003,0.599,13.779,11.914355,1.019401,12.143617
103,23.003,0.606,13.94,11.91397,1.029817,12.271198
104,23.003,0.611,14.055,11.913794,1.03947,12.38663
105,23.003,0.617,14.193,11.913749,1.049372,12.503263
106,23.003,0.623,14.308,11.913497,1.060012,12.626608
107,23.003,0.628,14.446,11.913245,1.069481,12.742331
108,23.003,0.634,14.561,11.912993,1.079439,12.860516
109,23.003,0.64,14.722,11.912802,1.09024,12.984914
