,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,20.001,0.014,0.28,12.017087,0.003141,0.039099
1,20.001,0.014,0.28,12.016938,0.003117,0.036976
2,20.001,0.025,0.5,12.006161,0.019049,0.227938
3,20.001,0.031,0.62,12.000816,0.028917,0.347119
4,20.001,0.038,0.76,11.996271,0.039546,0.475562
5,20.001,0.045,0.9,11.992111,0.049213,0.592572
6,20.002,0.053,1.06,11.988632,0.06026,0.723008
7,20.002,0.059,1.18,11.985611,0.069999,0.836468
8,20.002,0.066,1.3,11.98305,0.079689,0.95338
9,20.002,0.073,1.46,11.979749,0.090463,1.082278
10,20.002,0.08,1.6,11.977262,0.100018,1.196972
11,20.002,0.086,1.72,11.975204,0.109717,1.312146
12,20.002,0.093,1.86,11.972954,0.119447,1.431865
13,20.003,0.099,1.98,11.971088,0.128986,1.54534
14,20.003,0.107,2.14,11.969,0.13976,1.672582
15,20.003,0.113,2.26,11.966646,0.149627,1.790729
16,20.003,0.12,2.4,11.965269,0.159142,1.906657
17,20.003,0.127,2.54,11.963285,0.169763,2.03043
18,20.004,0.134,2.681,11.961317,0.179718,2.150142
19,20.004,0.141,2.821,11.959451,0.190171,2.276056
20,20.004,0.148,2.961,11.958075,0.200071,2.392171
21,20.004,0.154,3.081,11.956565,0.209954,2.509088
22,20.004,0.161,3.221,11.95495,0.220175,2.633503
23,20.004,0.168,3.361,11.953899,0.230058,2.750754
24,20.004,0.174,3.501,11.952197,0.239765,2.864836
25,20.004,0.182,3.641,11.950302,0.25029,2.990842
26,20.004,0.188,3.761,11.948732,0.260061,3.107666
27,20.004,0.195,3.901,11.947267,0.269969,3.223752
28,20.004,0.201,4.021,11.94632,0.279395,3.339654
29,20.004,0.209,4.181,11.944735,0.290249,3.467611
30,20.004,0.215,4.301,11.943565,0.299996,3.584069
31,20.004,0.222,4.441,11.942797,0.309454,3.694678
32,20.004,0.229,4.581,11.941257,0.320468,3.825153
33,20.004,0.236,4.721,11.939553,0.330023,3.941572
34,20.004,0.242,4.841,11.938029,0.33985,4.058462
35,20.004,0.248,4.981,11.936696,0.349397,4.171584
36,20.004,0.256,5.141,11.935601,0.360002,4.298654
37,20.004,0.263,5.261,11.934756,0.369829,4.415061
38,20.004,0.269,5.381,11.933424,0.379312,4.525021
39,20.004,0.276,5.521,11.932432,0.390134,4.655534
40,20.004,0.283,5.661,11.931722,0.400009,4.772783
41,20.004,0.289,5.801,11.930522,0.409603,4.885144
42,20.004,0.297,5.941,11.928909,0.420121,5.011886
43,20.004,0.303,6.061,11.927607,0.429916,5.128498
44,20.004,0.31,6.201,11.926186,0.439486,5.241114
45,20.004,0.317,6.341,11.924792,0.45022,5.36846
46,20.004,0.324,6.481,11.923475,0.460168,5.486216
47,20.004,0.33,6.601,11.922424,0.469538,5.599452
48,20.004,0.337,6.741,11.921506,0.480015,5.723343
49,20.004,0.344,6.881,11.920766,0.49009,5.841696
50,20.003,0.351,7.021,11.91967,0.499444,5.95461
51,20.003,0.357,7.141,11.918145,0.509118,6.066392
52,20.004,0.365,7.301,11.916799,0.519943,6.195821
53,20.003,0.371,7.421,11.915763,0.529427,6.309191
54,20.003,0.378,7.561,11.915081,0.539281,6.426797
55,20.003,0.385,7.701,11.914341,0.549849,6.551832
56,20.003,0.391,7.821,11.912861,0.559615,6.665492
57,20.003,0.398,7.961,11.911498,0.569356,6.780898
58,20.003,0.405,8.101,11.91024,0.580077,6.910262
59,20.003,0.411,8.221,11.909277,0.589746,7.021141
60,20.003,0.418,8.361,11.908552,0.599424,7.139577
61,20.003,0.426,8.521,11.907738,0.61004,7.264843
62,20.003,0.432,8.641,11.906316,0.61954,7.374448
63,20.003,0.439,8.781,11.904954,0.629346,7.493075
64,20.003,0.446,8.921,11.903578,0.640155,7.621664
65,20.003,0.452,9.041,11.902555,0.650017,7.735154
66,20.003,0.459,9.181,11.901935,0.659494,7.84969
67,20.003,0.466,9.321,11.901254,0.670222,7.97674
68,20.003,0.472,9.461,11.900217,0.680044,8.091782
69,20.003,0.479,9.581,11.898678,0.689448,8.204459
70,20.003,0.486,9.721,11.897345,0.700442,8.331777
71,20.003,0.493,9.861,11.896323,0.710167,8.448933
72,20.003,0.499,9.981,11.895509,0.719789,8.560799
73,20.003,0.506,10.122,11.894858,0.729329,8.676512
74,20.003,0.513,10.262,11.894132,0.740275,8.804067
75,20.003,0.52,10.382,11.89283,0.749679,8.915454
76,20.003,0.526,10.522,11.891378,0.759236,9.02915
77,20.003,0.533,10.662,11.890076,0.770157,9.15729
78,20.003,0.54,10.802,11.889054,0.779642,9.269376
79,20.003,0.546,10.922,11.888239,0.78952,9.383893
80,20.003,0.553,11.062,11.887633,0.800273,9.512728
81,20.003,0.56,11.202,11.887085,0.809677,9.624307
82,20.003,0.566,11.322,11.885738,0.819555,9.741829
83,20.003,0.574,11.482,11.884198,0.830211,9.867471
84,20.003,0.58,11.602,11.883206,0.839937,9.980331
85,20.003,0.587,11.742,11.881725,0.849614,10.095012
86,20.003,0.593,11.862,11.881163,0.85942,10.209752
87,20.003,0.6,12.002,11.880512,0.869763,10.331264
88,20.003,0.606,12.122,11.87983,0.879521,10.44781
89,20.003,0.613,12.262,11.879106,0.889407,10.564393
90,20.003,0.62,12.402,11.877432,0.899863,10.686806
91,20.003,0.627,12.542,11.876204,0.909749,10.804089
92,20.003,0.633,12.662,11.874989,0.919562,10.919112
93,20.003,0.64,12.802,11.873954,0.929906,11.040553
94,20.003,0.647,12.942,11.873138,0.939736,11.156139
95,20.003,0.654,13.082,11.872576,0.949357,11.272522
96,20.003,0.661,13.222,11.871792,0.960286,11.399457
97,20.003,0.667,13.342,11.871066,0.969819,11.514118
98,20.003,0.674,13.482,11.869467,0.97952,11.62527
99,20.003,0.68,13.602,11.868312,0.989318,11.740554
100,20.003,0.687,13.742,11.867128,0.999686,11.861856
101,20.003,0.694,13.882,11.866121,1.009515,11.977936
102,20.003,0.7,14.002,11.865233,1.019233,12.094041
103,20.003,0.708,14.142,11.864611,1.029921,12.221026
104,20.003,0.714,14.282,11.864019,1.039614,12.334326
105,20.003,0.72,14.422,11.863294,1.049508,12.449678
106,20.003,0.727,14.542,11.862183,1.060061,12.572681
107,20.003,0.734,14.682,11.860674,1.069577,12.686003
108,20.003,0.74,14.802,11.859622,1.079568,12.802376
109,20.003,0.748,14.942,11.858393,1.090184,12.927545
