,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
108,23.002,0.642,14.767,11.894591,1.079648,12.840029
109,23.002,0.648,14.905,11.89434,1.090272,12.966268
110,23.002,0.654,15.043,11.894132,1.099982,13.084938
111,23.002,0.659,15.158,11.893954,1.109731,13.196755
112,23.002,0.665,15.296,11.893822,1.119954,13.320388
113,23.001,0.671,15.411,11.893599,1.129744,13.438669
114,23.002,0.676,15.549,11.893614,1.139726,13.554043
115,23.002,0.681,15.664,11.893465,1.149339,13.666992
116,23.002,0.687,15.825,11.893273,1.159947,13.798177
117,23.002,0.694,15.963,11.893006,1.169842,13.913254
118,23.002,0.699,16.078,11.892711,1.179318,14.02397
119,23.002,0.705,16.216,11.89274,1.189886,14.153283
120,23.001,0.71,16.331,11.892474,1.199684,14.268743
121,23.001,0.716,16.469,11.892193,1.209201,14.378779
122,23.001,0.722,16.63,11.892031,1.220082,14.511117
123,23.001,0.728,16.722,11.892044,1.229831,14.62531
124,23.001,0.733,16.86,11.891867,1.239701,14.741716
125,23.001,0.739,17.021,11.891719,1.250021,14.865602
126,23.001,0.744,17.136,11.891274,1.259802,14.981151
127,23.001,0.751,17.274,11.891394,1.269576,15.095387
128,23.001,0.756,17.389,11.891231,1.279149,15.212088
129,23.001,0.762,17.527,11.891038,1.290062,15.33844
130,23.001,0.768,17.665,11.890875,1.299804,15.455819
131,23.001,0.774,17.78,11.890565,1.309248,15.568617
132,23.001,0.779,17.918,11.890371,1.319969,15.696831
133,23.001,0.785,18.056,11.890283,1.329855,15.810455
134,23.001,0.791,18.194,11.889661,1.339388,15.92485
135,23.001,0.796,18.332,11.889558,1.349947,16.051519
136,23.001,0.802,18.447,11.889261,1.359898,16.168406
137,23.001,0.808,18.585,11.888995,1.369326,16.279438
138,23.001,0.814,18.723,11.888891,1.379926,16.404562
139,23.001,0.82,18.861,11.889202,1.389845,16.525934
140,23.001,0.825,18.976,11.889173,1.399354,16.639109
141,23.001,0.831,19.114,11.888921,1.409167,16.754086
142,23.001,0.837,19.252,11.888655,1.420016,16.880583
143,23.001,0.843,19.367,11.888433,1.429573,16.993423
144,23.001,0.848,19.505,11.888106,1.439435,17.110453
145,23.001,0.855,19.643,11.888018,1.449979,17.236404
146,23.0,0.86,19.781,11.888137,1.45952,17.351404
147,23.0,0.866,19.918,11.88787,1.469294,17.465271
148,23.0,0.872,20.056,11.887455,1.480046,17.593689
149,23.0,0.877,20.171,11.887321,1.489298,17.704927
150,23.0,0.883,20.309,11.887455,1.499321,17.823137
151,23.0,0.89,20.47,11.887204,1.510017,17.951435
152,23.0,0.895,20.585,11.88704,1.519542,18.063311
153,23.0,0.901,20.723,11.886863,1.529388,18.180195
154,23.0,0.906,20.838,11.886701,1.539121,18.295555
155,23.0,0.912,20.976,11.886448,1.549898,18.423809
156,23.0,0.919,21.114,11.886331,1.559615,18.536417
157,22.999,0.924,21.251,11.885827,1.56918,18.651175
158,22.999,0.93,21.389,11.885827,1.58007,18.781221
159,22.999,0.935,21.504,11.885486,1.589426,18.890596
160,22.999,0.941,21.642,11.885308,1.599191,19.008314
161,22.999,0.947,21.78,11.88522,1.61004,19.137762
162,22.999,0.953,21.918,11.88516,1.619541,19.249773
163,22.999,0.959,22.056,11.884982,1.629355,19.362827
164,22.999,0.965,22.194,11.884598,1.640068,19.491165
165,22.999,0.971,22.332,11.884523,1.649632,19.60622
166,22.999,0.976,22.447,11.884212,1.659221,19.719381
167,22.999,0.982,22.585,11.884198,1.669284,19.836452
168,22.999,0.988,22.723,11.883962,1.6797,19.961796
169,22.999,0.994,22.861,11.883695,1.689481,20.079229
170,22.999,0.999,22.999,11.883473,1.699271,20.195616
171,22.999,1.006,23.137,11.883591,1.709687,20.318977
172,22.999,1.011,23.275,11.88334,1.719597,20.434673
173,22.999,1.017,23.39,11.883058,1.729258,20.546513
174,22.999,1.023,23.528,11.882569,1.739553,20.672516
175,22.999,1.029,23.666,11.882762,1.74952,20.788013
176,22.999,1.035,23.804,11.882658,1.759333,20.904881
177,22.998,1.041,23.941,11.882541,1.769781,21.031137
178,22.998,1.047,24.079,11.882214,1.779683,21.14502
179,22.998,1.053,24.217,11.882154,1.789392,21.263168
180,22.998,1.059,24.355,11.881978,1.799968,21.385584
181,22.998,1.064,24.493,11.881725,1.809806,21.502277
182,22.998,1.07,24.608,11.881518,1.819572,21.618488
183,22.998,1.076,24.746,11.881163,1.829209,21.734837
184,22.998,1.082,24.884,11.880912,1.839745,21.856731
185,22.998,1.088,25.022,11.880571,1.849358,21.971909
186,22.998,1.094,25.159,11.880334,1.859284,22.088017
187,22.997,1.1,25.298,11.880215,1.869732,22.213638
188,22.997,1.106,25.435,11.880304,1.87949,22.330202
189,22.997,1.112,25.55,11.880142,1.889319,22.445517
190,22.997,1.117,25.711,11.87983,1.899727,22.567698
191,22.997,1.124,25.826,11.879416,1.909549,22.683695
192,22.997,1.129,25.964,11.879416,1.919314,22.800438
193,22.997,1.136,26.102,11.879431,1.929906,22.924761
194,22.997,1.141,26.263,11.879238,1.939471,23.040565
195,22.997,1.147,26.378,11.878809,1.94947,23.157932
196,22.997,1.153,26.516,11.878543,1.959885,23.279945
197,22.997,1.159,26.654,11.878453,1.969402,23.391886
198,22.997,1.165,26.792,11.878084,1.979216,23.511473
199,22.997,1.171,26.929,11.878039,1.988925,23.622911
200,22.997,1.177,27.067,11.87761,1.999782,23.752899
