,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.001,0.013,0.299,12.026281,0.003831,0.04617
1,23.001,0.013,0.299,12.025999,0.003823,0.046267
2,23.001,0.022,0.506,12.016258,0.019386,0.234202
3,23.001,0.028,0.644,12.011653,0.029607,0.355332
4,23.001,0.035,0.805,12.007538,0.040252,0.481691
5,23.001,0.04,0.92,12.004474,0.049959,0.598664
6,23.002,0.047,1.081,12.00055,0.060837,0.730169
7,23.002,0.053,1.219,11.997958,0.070536,0.844555
8,23.002,0.058,1.334,11.995071,0.080235,0.9631
9,23.002,0.065,1.495,11.992422,0.090912,1.09083
10,23.003,0.07,1.61,11.990423,0.100659,1.205123
11,23.003,0.076,1.748,11.988321,0.110238,1.322236
12,23.004,0.082,1.886,11.986737,0.120105,1.440621
13,23.004,0.088,2.024,11.984857,0.129612,1.553845
14,23.004,0.094,2.162,11.982384,0.140442,1.682735
15,23.004,0.1,2.3,11.980341,0.150357,1.801712
16,23.004,0.106,2.438,11.979053,0.159807,1.91299
17,23.004,0.112,2.576,11.977306,0.170341,2.040896
18,23.004,0.118,2.714,11.975707,0.180312,2.159451
19,23.004,0.124,2.852,11.974153,0.190765,2.282994
20,23.004,0.13,2.991,11.972746,0.200713,2.402977
21,23.004,0.136,3.129,11.971354,0.210331,2.517072
22,23.004,0.142,3.267,11.969415,0.220704,2.641689
23,23.004,0.148,3.405,11.968409,0.230692,2.761397
24,23.004,0.154,3.543,11.967238,0.24031,2.876029
25,23.004,0.16,3.681,11.965477,0.250739,2.999539
26,23.004,0.166,3.819,11.963923,0.260542,3.116817
27,23.004,0.172,3.957,11.962575,0.270346,3.233842
28,23.004,0.177,4.072,11.961331,0.279932,3.349609
29,23.004,0.184,4.233,11.960443,0.290778,3.476964
30,23.004,0.19,4.371,11.9592,0.300517,3.594508
31,23.004,0.195,4.486,11.958148,0.309775,3.703064
32,23.004,0.202,4.647,11.957394,0.320701,3.834231
33,23.004,0.207,4.785,11.956106,0.33052,3.951545
34,23.004,0.214,4.923,11.954773,0.340307,4.068764
35,23.004,0.219,5.038,11.953396,0.349806,4.181564
36,23.004,0.226,5.176,11.951989,0.360403,4.305974
37,23.004,0.231,5.314,11.950686,0.370335,4.426701
38,23.004,0.237,5.452,11.949946,0.379648,4.535442
39,23.004,0.244,5.613,11.948895,0.390567,4.665595
40,23.004,0.249,5.728,11.947845,0.400354,4.783347
41,23.004,0.255,5.866,11.946986,0.409924,4.896594
42,23.004,0.261,6.004,11.946171,0.420482,5.021299
43,23.004,0.267,6.142,11.945165,0.430373,5.139536
44,23.004,0.273,6.28,11.944098,0.439911,5.252525
45,23.004,0.28,6.418,11.942855,0.450589,5.380251
46,23.004,0.285,6.556,11.941804,0.460472,5.499022
