,meta
Script,load_regulation.py
Timestamp,2024-06-01 20:36:03.760509
Instruments,"RIGOL TECHNOLOGIES,DL3021A,DL3B255000776,00.01.05.00.01 HAMEG,HMC8012,023786831,01.101 Siglent Technologies,SPD1305X,SPD13DCC8R0097,2.1.1.9R1,V1.0"
Version,1.0.0
DUT,LM2596
