,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
108,23.002,0.652,14.997,11.856572,1.079896,12.8024
109,23.002,0.658,15.158,11.855743,1.090465,12.926984
110,23.002,0.664,15.319,11.855165,1.100255,13.042479
111,23.002,0.67,15.411,11.853729,1.109876,13.156863
112,23.002,0.676,15.549,11.853019,1.120187,13.277513
113,23.002,0.682,15.687,11.85216,1.130073,13.395056
114,23.002,0.687,15.802,11.85142,1.13987,13.50791
115,23.002,0.693,15.94,11.850488,1.149299,13.621572
116,23.002,0.699,16.078,11.849673,1.160172,13.74836
117,23.002,0.705,16.216,11.84877,1.169986,13.861452
118,23.002,0.711,16.354,11.848015,1.17943,13.973823
119,23.002,0.717,16.492,11.847466,1.190223,14.102653
120,23.002,0.722,16.63,11.846549,1.200181,14.217781
121,23.002,0.728,16.768,11.845824,1.209578,14.329325
122,23.002,0.734,16.883,11.845187,1.220451,14.457404
123,23.002,0.74,17.021,11.844551,1.230168,14.569578
124,23.002,0.745,17.159,11.844121,1.23999,14.685418
125,23.002,0.75,17.275,11.843618,1.250237,14.809063
126,23.002,0.754,17.505,11.843115,1.260123,14.921924
127,23.002,0.764,17.597,11.842523,1.269865,15.039409
128,23.002,0.77,17.712,11.842211,1.279462,15.149815
129,23.002,0.776,17.827,11.841811,1.29019,15.27726
130,23.002,0.781,17.965,11.841235,1.300036,15.392191
131,23.002,0.788,18.08,11.840835,1.309521,15.504927
132,23.002,0.793,18.241,11.840242,1.320234,15.631006
133,23.002,0.799,18.379,11.839754,1.330007,15.74694
134,23.002,0.805,18.517,11.839295,1.33966,15.859704
135,23.002,0.811,18.678,11.83888,1.350253,15.984869
136,23.002,0.817,18.793,11.838392,1.360123,16.101242
137,23.002,0.823,18.908,11.837873,1.369575,16.212452
138,23.002,0.829,19.069,11.837267,1.380151,16.337584
139,23.002,0.835,19.207,11.836926,1.390206,16.45388
140,23.001,0.84,19.344,11.836378,1.399546,16.566568
141,23.001,0.847,19.459,11.836009,1.409536,16.681986
142,23.001,0.854,19.62,11.835623,1.420153,16.80929
143,23.001,0.859,19.758,11.835046,1.429758,16.919741
144,23.001,0.865,19.896,11.834661,1.439523,17.035244
145,23.001,0.872,20.034,11.83432,1.450043,17.16239
146,23.001,0.878,20.172,11.832736,1.45972,17.272921
147,23.001,0.885,20.31,11.832884,1.469542,17.387449
148,23.001,0.89,20.471,11.832544,1.480118,17.514093
149,23.001,0.896,20.609,11.831951,1.489555,17.62557
150,23.001,0.903,20.724,11.831492,1.499537,17.741175
151,23.001,0.907,20.908,11.831018,1.51025,17.866592
152,23.001,0.914,21.023,11.830338,1.519646,17.978693
153,23.001,0.92,21.184,11.829805,1.529741,18.094887
154,23.001,0.928,21.322,11.829405,1.539362,18.209793
155,23.001,0.935,21.483,11.828769,1.550275,18.337017
156,23.001,0.94,21.598,11.82828,1.559832,18.44816
157,23.001,0.947,21.759,11.827925,1.569453,18.563545
158,23.001,0.954,21.943,11.827628,1.580214,18.690407
159,23.0,0.96,22.057,11.826874,1.589819,18.801571
160,23.0,0.965,22.218,11.826459,1.59932,18.915285
161,23.0,0.975,22.356,11.826355,1.610329,19.043852
162,23.0,0.982,22.494,11.826504,1.61987,19.157122
163,23.0,0.992,22.84,11.829597,1.629604,19.27697
164,23.001,1.001,23.024,11.829568,1.640316,19.403263
165,23.001,1.008,23.185,11.829331,1.649921,19.516638
166,23.002,1.014,23.324,11.828117,1.659543,19.627668
167,23.001,1.022,23.462,11.826074,1.669413,19.743305
168,23.001,1.021,23.484,11.823054,1.680013,19.862053
169,23.001,1.023,23.507,11.821736,1.689835,19.975128
170,23.001,1.027,23.622,11.820819,1.699536,20.089485
171,23.001,1.034,23.829,11.820256,1.709935,20.21183
172,23.001,1.039,23.898,11.818865,1.71987,20.32683
173,23.001,1.047,24.058,11.818391,1.729467,20.437798
174,23.0,1.049,24.219,11.816613,1.73981,20.559057
175,23.0,1.063,24.425,11.816451,1.749664,20.674189
176,23.0,1.075,24.724,11.814601,1.759486,20.786097
177,23.001,1.075,24.795,11.805525,1.769925,20.896151
178,23.002,1.089,25.118,11.786649,1.779867,20.976179
179,23.004,1.097,25.212,11.767742,1.789649,21.059645
180,23.005,1.105,25.421,11.76641,1.799993,21.178631
181,23.005,1.11,25.513,11.76604,1.810055,21.296143
182,23.004,1.118,25.695,11.763406,1.819757,21.405895
183,23.004,1.121,25.81,11.766929,1.829394,21.52669
184,23.006,1.128,25.951,11.770674,1.840074,21.658302
185,23.005,1.133,26.088,11.769682,1.849679,21.770771
186,23.004,1.139,26.203,11.768187,1.859405,21.882877
187,23.004,1.145,26.34,11.766514,1.870093,22.002693
188,23.002,1.151,26.475,11.765211,1.879618,22.115164
189,23.002,1.157,26.59,11.763553,1.889632,22.227484
190,23.002,1.163,26.728,11.76225,1.900016,22.347548
191,23.002,1.168,26.866,11.760755,1.909725,22.458261
192,23.003,1.174,27.006,11.759038,1.919467,22.572529
193,23.004,1.18,27.144,11.757631,1.929971,22.692875
194,23.004,1.185,27.26,11.756298,1.939889,22.804632
195,23.004,1.191,27.375,11.754611,1.949751,22.916746
196,23.004,1.196,27.513,11.751028,1.960006,23.030989
197,23.005,1.197,27.537,11.697937,1.969651,23.03956
198,23.006,1.2,27.607,11.669557,1.979569,23.09977
199,23.006,1.2,27.607,11.606443,1.989078,23.084936
200,23.007,1.2,27.608,11.541968,2.000015,23.083904
